sentence,score,label
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,0.341,3
Short more $FAZ for all who don't know that means markets will tank now :-p,-0.605,1
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,-0.443,1
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",0.521,3
$ELN longs...congrats...another HOD,0.445,3
"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",-0.424,1
$TSPT  long 8.00,0.499,3
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,0.622,3
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,0.006,3
"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",-0.312,1
$FIO won't stay down,0.376,3
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,0.529,3
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,0.414,3
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,-0.172,1
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",0.011,3
"$ZSL looking very weak, could be a good short setup.",-0.614,1
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",-0.483,1
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,-0.607,1
"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",0.455,3
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",0.498,3
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,0.345,3
like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,0.655,3
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,-0.088,1
$IBM staying strong,0.532,3
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",-0.55,1
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",0.221,3
$SIGA Bid for Reargument Denied by Judge,-0.354,1
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",0.194,3
$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,0.443,3
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,0.316,3
$RDC Rowan Expands Share Repurchase Program to $150 million,0.285,3
$NVDA sideways,0.0,2
$HITK  Resuming advance into new historical highs.,0.68,3
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,0.198,3
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,0.518,3
RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,0.539,3
"that was quick, out $FIO 21.35, market tanking, scaling down longs now",-0.497,1
$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,-0.406,1
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,0.324,3
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",-0.361,1
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,0.477,3
$mako hanging in well today. still in a basing pattern. have eyes on it,0.195,3
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",-0.469,1
$TZA is a rocket ship!!!,0.807,3
"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",0.394,3
$vxx starting to creep up while $spy sits near hod ...,0.141,3
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,0.411,3
VIVUS $VVUS bear raid in effect. Stock down 12%,-0.57,1
looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,-0.352,1
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,-0.451,1
$renn topping tail 5 min. chart at 7.31 short from here.,-0.64,1
$SPY weak close,-0.297,1
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,0.248,3
$EFUT hod  posted buy pm at $4.40,0.354,3
$AAPL short some 592.49,-0.464,1
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",-0.515,1
"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",0.144,3
Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,0.221,3
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",0.461,3
$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,0.394,3
$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,0.469,3
$AXP Looking for continuation with volume increase http://stks.co/c8sR,0.308,3
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,0.444,3
Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,0.315,3
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",0.586,3
$SPY Long 1/2 position 137.89,0.428,3
$AAPL price momentum weakening going into the close.,-0.22,1
RT @ACInvestorBlog $AAPL still on track for $500,0.166,3
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,-0.26,1
$BAC in for swing trade  looks like want go up,0.433,3
$PCLN runs into the 50sma on the acquisition news,0.486,3
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),-0.175,1
$WYNN big bounce,0.61,3
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,-0.143,1
$AAPL wants lower. up waves getting smaller on the 2 min,-0.37,1
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,-0.342,1
"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",-0.169,1
$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,0.574,3
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,0.396,3
$AAPL 620 resistance area,-0.025,1
what is up with $HK..... from Jan to now it's been a sinking ship...,-0.573,1
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",0.076,3
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,0.579,3
"$AAPL bounce right now has no vol, more vol when it slid",0.19,3
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",0.351,3
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,-0.202,1
$AAPL long 630.91,0.512,3
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",-0.445,1
$KCG bot at 2.24,0.384,3
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,-0.274,1
pretty steady accumulation off support today.  Purdy. $AGU,0.464,3
Out of shorts $ALTR at 38.85 with loss,0.372,3
"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",-0.51,1
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,0.452,3
"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",0.41,3
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",-0.325,1
$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,0.553,3
"Went long on this $COG, will see 70's again me thinks",0.574,3
$AAPL nibbling on a small long via 525.. buying off 13min charts..,0.509,3
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,0.47,3
"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",0.495,3
Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,0.308,3
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,0.432,3
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,0.492,3
$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,0.298,3
$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,0.254,3
$KITD Looking for a oversold bounce.,0.436,3
$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY,0.201,3
$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,0.605,3
$aapl.  Test the high today and probably go beyond after hours...,0.505,3
Long $PCLN,0.663,3
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",-0.334,1
Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,-0.474,1
$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,-0.412,1
RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,-0.02,1
$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,0.346,3
$DMND green and moving,0.477,3
$MTD (Mettler-Toledo) ready for a breakout,0.428,3
$ACAD under $2 today?,-0.164,1
$amzn breaking,0.251,3
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,-0.284,1
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",0.303,3
RT @bman1 $LNG looks primed also $EGHT poised to run too...,0.381,3
$AAPL broke descending channel....will it hold?,-0.07,1
$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,0.272,3
"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",0.316,3
$AMD big dumping... would not touch it for a while,-0.699,1
$GNRC finding support at its 10-day line so far.,0.256,3
"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",0.664,3
"$QCOR Just added 3,000 shares @28.",0.73,3
"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ",-0.146,1
$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,-0.36,1
"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",0.451,3
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,0.434,3
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,0.609,3
$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,0.612,3
$FB Nice buyable intraday dip right here,0.492,3
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,0.497,3
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,0.546,3
$GOOG resistance turned support?  It,0.34,3
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,0.519,3
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,0.635,3
$AAPL I am big OUT from this. seems its falling towards 530.. :(,-0.639,1
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,0.592,3
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,0.231,3
$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,0.171,3
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,-0.223,1
$brcm raises revenue forecast,0.367,3
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,0.395,3
$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,0.516,3
$EDU bouncing nicely after add-on (posted),0.437,3
$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,0.389,3
BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,0.551,3
$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,0.529,3
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",0.391,3
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,-0.458,1
"$TYC just about to break out to new highs, lots of technicals looking great right now.",0.602,3
"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",0.128,3
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",0.297,3
$SPY wouldn't be surprised to see a green close,0.416,3
@Vegastrader66 Looks like good entry for $QIHU here.,0.453,3
$INO back in this am small post,0.554,3
"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",0.394,3
$LINE biggies must be loading up here at lows..,0.438,3
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,-0.398,1
Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,-0.042,1
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",0.531,3
"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",0.661,3
@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,0.295,3
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,0.121,3
$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,0.685,3
"$AAPL double bottom could be in, keep in mind",0.271,3
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,-0.363,1
"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",0.681,3
$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,0.319,3
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,0.478,3
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",0.526,3
"Long Position on $GOL,...Updating http://stks.co/fdmm",0.674,3
$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,-0.538,1
$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,0.552,3
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,-0.287,1
$NFLX +3% of the lows,0.323,3
$SBUX getting sold here.,-0.551,1
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,0.116,3
$RIMM $spx $nya $compq $djia all going down,-0.559,1
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",0.366,3
$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,0.421,3
$BBRY hearing rumours of a major joint venture announcement.,0.427,3
$AAPL Good time to buy. Will the run come before earnings or after?,0.533,3
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",-0.494,1
$UVXY Put the chum out there at key support then next level down - careful,-0.32,1
Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,0.627,3
@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,0.272,3
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",-0.341,1
$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,-0.454,1
"$SLV -4.44% at 18 now AWFUL, down from 42.50",-0.591,1
$SPY c'mon bulls buy DIPS!,0.228,3
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,-0.443,1
$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,0.478,3
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",-0.455,1
$CRUS Upgraded to a buy by Alpha Street Research,0.715,3
"$NFLX small pos, short 180 wkly puts.",-0.597,1
$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,-0.477,1
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,0.645,3
$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,-0.43,1
@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,0.284,3
$NUGT longer term bullish,0.814,3
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",0.576,3
$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,0.093,3
$SPY  still wants higher I think.,0.448,3
$BBRY lets see 14+ today,0.302,3
$DCTH Near HOD,0.366,3
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,0.454,3
$GTE LONG at 7.44,0.732,3
$DARA breaking out,0.427,3
$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,0.346,3
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",0.155,3
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,-0.238,1
$BBRY nice bounce,0.296,3
"$DNN picked some up, like this going into 2014",0.653,3
$NUGT Gold above 1400...wow,0.424,3
$BBRY Ready for Take OFF!,0.472,3
$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,0.72,3
"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL",0.565,3
$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0.123,3
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,-0.35,1
"Long Position on $IP,....Scaling UP http://stks.co/sIln",0.662,3
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,-0.215,1
The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,-0.493,1
"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",0.365,3
"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",-0.303,1
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,0.404,3
$AMCN pushing highs,0.543,3
@pierrules: $SIRI LONG!!,0.759,3
$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,0.442,3
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,-0.54,1
"$CNDO 21% short float, shorts likely to take profits into close",-0.327,1
$RNN staying above the open a very good sign!!!,0.551,3
Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0.394,3
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),-0.337,1
$PRGN A bottom right here?,0.041,3
"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",-0.148,1
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",0.335,3
$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,0.124,3
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,-0.326,1
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,-0.009,1
"$RNN day traders flushed out, it should start going up slowly from now on .",0.411,3
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,-0.382,1
$YELP This goes green and so many shorts are toast!,0.463,3
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,-0.046,1
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,-0.431,1
"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",-0.631,1
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,0.566,3
$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,0.485,3
"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",-0.023,1
$AAPL Nice RSI 33 bounce at 9:58,0.291,3
"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.",-0.334,1
$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,0.577,3
$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,-0.262,1
@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,-0.169,1
"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",-0.576,1
$FTI Breakout today after reporting earnings last night,0.554,3
"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",0.338,3
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,0.527,3
$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,-0.055,1
$RAD All my charts are flashing oversold.,-0.011,1
$RSOL bought 3500 shares today!,0.738,3
$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,0.484,3
$CAMT Looks like might break down. I'm out,-0.516,1
$ATHN Seems like a good short setup. Stop above the 50 day. No position.,-0.338,1
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,-0.302,1
$AAPL  downgrade is bias. This stock is a buy.,0.498,3
LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,0.423,3
$PLUG bear raid,-0.48,1
$GPRO down 25% since Tue morning.,-0.527,1
$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,0.565,3
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,0.383,3
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0.362,3
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,0.401,3
$GTAT Will re-enter short on bounce...,-0.46,1
$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,0.544,3
$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,0.569,3
what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,-0.507,1
$RNN More bleeding Monday.,-0.465,1
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,0.143,3
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,0.071,3
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,-0.264,1
$MXWL Oh snap. Just went long again. LT,0.691,3
$HRL ready to pop! http://stks.co/s0Ny4,0.336,3
Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,-0.497,1
$FB i guess they want it down look at the those sell orders,-0.465,1
@ACInvestorBlog: $SPY eod run :),0.391,3
Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,0.145,3
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,-0.369,1
$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,0.374,3
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,-0.228,1
3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,0.214,3
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,0.285,3
Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,-0.45,1
"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.591,3
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",0.054,3
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,-0.392,1
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",0.361,3
$KEP breaking out when the market pulls back  http://stks.co/r0cet,0.413,3
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,0.479,3
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",0.5,3
$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,0.55,3
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0.431,3
$FB they are hitting  everything in sight.short it. but twtr,-0.504,1
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,-0.405,1
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",0.396,3
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",-0.471,1
"$INO Up, up, and away!",0.604,3
$BOBE down $2.84  premarket,-0.512,1
$CHRM Loooooongggggg base,0.557,3
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,-0.551,1
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,0.643,3
$GS sells flat..I am out..,-0.541,1
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,0.623,3
NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,-0.563,1
$WX Decent pull back . .,-0.325,1
"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",0.42,3
$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,0.561,3
Long $GPRO for a brealout trade,0.594,3
$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,-0.237,1
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,-0.678,1
"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",-0.265,1
@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,0.523,3
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,-0.231,1
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",-0.083,1
